group,dataset,table,campo,value
companhias,cad,companhias,categ_reg,Categoria A
companhias,cad,companhias,categ_reg,Categoria B
companhias,cad,companhias,controle_acionario,ESTATAL
companhias,cad,companhias,controle_acionario,ESTATAL HOLDING
companhias,cad,companhias,controle_acionario,ESTRANGEIRO
companhias,cad,companhias,controle_acionario,ESTRANGEIRO HOLDING
companhias,cad,companhias,controle_acionario,PRIVADO
companhias,cad,companhias,controle_acionario,PRIVADO HOLDING
companhias,cad,companhias,motivo_cancel,ATENDIMENTO AS NORMAS DA INSTR CVM 03/78
companhias,cad,companhias,motivo_cancel,ATENDIMENTO AS NORMAS DA INSTR CVM 229/95
companhias,cad,companhias,motivo_cancel,ATENDIMENTO AS NORMAS DA INSTRUÇÃO CVM Nº 361/02
companhias,cad,companhias,motivo_cancel,CANCELAMENTO A PEDIDO
companhias,cad,companhias,motivo_cancel,CANCELAMENTO A PEDIDO (Cia Incentivada)
companhias,cad,companhias,motivo_cancel,CANCELAMENTO DE OFÍCIO
companhias,cad,companhias,motivo_cancel,CANCELAMENTO DE OFÍCIO C/BASE INSTR. CVM 287/98
companhias,cad,companhias,motivo_cancel,CANCELAMENTO OFICIO COM BASE INSTR. CVM 29/84
companhias,cad,companhias,motivo_cancel,CANCELAMENTO VOLUNTÁRIO
companhias,cad,companhias,motivo_cancel,ELISÃO DEVIDO A CANCELAMENTO DO RPJ PELO BACEN
companhias,cad,companhias,motivo_cancel,ELISÃO POR EXTINÇÃO DA CIA
companhias,cad,companhias,motivo_cancel,ELISÃO POR INCORPORAÇÃO
companhias,cad,companhias,motivo_cancel,ELISÃO POR LIQUIDAÇÃO
companhias,cad,companhias,motivo_cancel,ELISÃO POR TRANSFORMAÇÃO
companhias,cad,companhias,motivo_cancel,ENQUADRAMENTO EXCEÇÕES DA INSTR. CVM 03/78
companhias,cad,companhias,motivo_cancel,ENQUADRAMENTO HIPÓTESE ESTAB P/ COML EM 29/10/79
companhias,cad,companhias,motivo_cancel,INCORPORAÇÃO
companhias,cad,companhias,motivo_cancel,LIQUIDAÇÃO EXTRAJUDICIAL
companhias,cad,companhias,motivo_cancel,Migração de Registro (Resolução n° 60)
companhias,cad,companhias,pais,BRASIL
companhias,cad,companhias,pais,EGITO
companhias,cad,companhias,pais_resp,BRASIL
companhias,cad,companhias,sit,ATIVO
companhias,cad,companhias,sit,CANCELADA
companhias,cad,companhias,sit,SUSPENSO(A) - DECISÃO ADM
companhias,cad,companhias,tp_merc,BALCÃO NÃO ORGANIZADO
companhias,cad,companhias,tp_merc,BALCÃO ORGANIZADO
companhias,cad,companhias,tp_merc,BOLSA
companhias,cad,companhias,tp_resp,DIRETOR DE RELAÇÕES COM INVESTIDORES
companhias,cgvn,praticas,capitulo,Acionistas
companhias,cgvn,praticas,capitulo,Conselho de Administração
companhias,cgvn,praticas,capitulo,Diretoria
companhias,cgvn,praticas,capitulo,Ética e Conflito de Interesses
companhias,cgvn,praticas,capitulo,Órgãos de Fiscalização e Controle
companhias,cgvn,praticas,pratica_adotada,Não
companhias,cgvn,praticas,pratica_adotada,Não se Aplica
companhias,cgvn,praticas,pratica_adotada,Parcialmente
companhias,cgvn,praticas,pratica_adotada,Sim
companhias,cgvn,praticas,principio,Acordos de Acionistas
companhias,cgvn,praticas,principio,Assembleia Geral
companhias,cgvn,praticas,principio,Atribuições
companhias,cgvn,praticas,principio,Auditoria Independente
companhias,cgvn,praticas,principio,Auditoria Interna
companhias,cgvn,praticas,principio,Avaliação do Conselho e dos Conselheiros
companhias,cgvn,praticas,principio,Avaliação do Diretor-Presidente e da Diretoria
companhias,cgvn,praticas,principio,Comitê de Auditoria
companhias,cgvn,praticas,principio,Composição do Conselho de Administração
companhias,cgvn,praticas,principio,Conflito de Interesses
companhias,cgvn,praticas,principio,Conselho Fiscal
companhias,cgvn,praticas,principio,Código de Conduta e Canal de Denúncias
companhias,cgvn,praticas,principio,Estrutura Acionária
companhias,cgvn,praticas,principio,"Gerenciamento de Riscos, Controles Internos e Integridade/Conformidade (Compliance)"
companhias,cgvn,praticas,principio,Indicação dos Diretores
companhias,cgvn,praticas,principio,Integração de Novos Conselheiros
companhias,cgvn,praticas,principio,Manifestação da Administração nas OPAs
companhias,cgvn,praticas,principio,Medidas de Defesa
companhias,cgvn,praticas,principio,Mudança de Controle
companhias,cgvn,praticas,principio,Planejamento da Sucessão
companhias,cgvn,praticas,principio,Política de Destinação de Resultados
companhias,cgvn,praticas,principio,Política de Negociação de Valores Mobiliários
companhias,cgvn,praticas,principio,Política sobre Contribuições e Doações
companhias,cgvn,praticas,principio,Presidente do Conselho
companhias,cgvn,praticas,principio,Regimento Interno do Conselho de Administração
companhias,cgvn,praticas,principio,Remuneração da Diretoria
companhias,cgvn,praticas,principio,Remuneração dos Conselheiros de Administração
companhias,cgvn,praticas,principio,Reuniões do Conselho de Administração
companhias,cgvn,praticas,principio,Sociedades de Economia Mista
companhias,cgvn,praticas,principio,Transações com Partes Relacionadas
companhias,cgvn,submissao,categoria,Código de Governança
companhias,cgvn,submissao,link_download,http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=152086
companhias,cgvn,submissao,link_download,http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=152549
companhias,cgvn,submissao,link_download,http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=152593
companhias,cgvn,submissao,link_download,http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=152596
companhias,cgvn,submissao,link_download,http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=152598
companhias,dfp,bpa,escala_moeda,MIL
companhias,dfp,bpa,moeda,REAL
companhias,dfp,bpa,ordem_exerc,PENÚLTIMO
companhias,dfp,bpa,ordem_exerc,ÚLTIMO
companhias,dfp,bpa,st_conta_fixa,N
companhias,dfp,bpa,st_conta_fixa,S
companhias,dfp,bpp,escala_moeda,MIL
companhias,dfp,bpp,moeda,REAL
companhias,dfp,bpp,ordem_exerc,PENÚLTIMO
companhias,dfp,bpp,ordem_exerc,ÚLTIMO
companhias,dfp,bpp,st_conta_fixa,N
companhias,dfp,bpp,st_conta_fixa,S
companhias,dfp,dfc_md,st_conta_fixa,N
companhias,dfp,dfc_md,st_conta_fixa,S
companhias,dfp,dfc_mi,escala_moeda,MIL
companhias,dfp,dfc_mi,moeda,REAL
companhias,dfp,dfc_mi,ordem_exerc,PENÚLTIMO
companhias,dfp,dfc_mi,ordem_exerc,ÚLTIMO
companhias,dfp,dfc_mi,st_conta_fixa,N
companhias,dfp,dfc_mi,st_conta_fixa,S
companhias,dfp,dmpl,coluna_df,Capital Social Integralizado
companhias,dfp,dmpl,coluna_df,Lucros ou Prejuízos Acumulados
companhias,dfp,dmpl,coluna_df,Outros Resultados Abrangentes
companhias,dfp,dmpl,coluna_df,Patrimônio Líquido
companhias,dfp,dmpl,coluna_df,"Reservas de Capital, Opções Outorgadas e Ações em Tesouraria"
companhias,dfp,dmpl,coluna_df,Reservas de Lucro
companhias,dfp,dmpl,escala_moeda,MIL
companhias,dfp,dmpl,moeda,REAL
companhias,dfp,dmpl,ordem_exerc,PENÚLTIMO
companhias,dfp,dmpl,ordem_exerc,ÚLTIMO
companhias,dfp,dmpl,st_conta_fixa,N
companhias,dfp,dmpl,st_conta_fixa,S
companhias,dfp,dra,escala_moeda,MIL
companhias,dfp,dra,moeda,REAL
companhias,dfp,dra,ordem_exerc,PENÚLTIMO
companhias,dfp,dra,ordem_exerc,ÚLTIMO
companhias,dfp,dra,st_conta_fixa,N
companhias,dfp,dra,st_conta_fixa,S
companhias,dfp,dre,escala_moeda,MIL
companhias,dfp,dre,moeda,REAL
companhias,dfp,dre,ordem_exerc,PENÚLTIMO
companhias,dfp,dre,ordem_exerc,ÚLTIMO
companhias,dfp,dre,st_conta_fixa,N
companhias,dfp,dre,st_conta_fixa,S
companhias,dfp,dva,escala_moeda,MIL
companhias,dfp,dva,moeda,REAL
companhias,dfp,dva,ordem_exerc,PENÚLTIMO
companhias,dfp,dva,ordem_exerc,ÚLTIMO
companhias,dfp,dva,st_conta_fixa,N
companhias,dfp,dva,st_conta_fixa,S
companhias,dfp,parecer,tp_parecer_decl,Declaração dos Diretores sobre as Demonstrações Financeiras
companhias,dfp,parecer,tp_parecer_decl,Declaração dos Diretores sobre o Relatório do Auditor Independente
companhias,dfp,parecer,tp_parecer_decl,Parecer do Conselho Fiscal ou Órgão Equivalente
companhias,dfp,parecer,tp_parecer_decl,"Parecer ou Relatório Resumido, se houver, do Comitê de Auditoria (estatutário ou não)"
companhias,dfp,parecer,tp_parecer_decl,"Relatório Resumido do Comitê de Auditoria (estatutário, previsto em regulamentação específica da CVM)"
companhias,dfp,parecer,tp_parecer_decl,Relatório do Auditor Independente
companhias,dfp,parecer,tp_relat_aud,Sem Ressalva
companhias,dfp,submissao,categ_doc,DFP
companhias,dfp,submissao,link_doc,http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=156875
companhias,fca,auditor,origem_auditor,Nacional
companhias,fca,canal_divulgacao,sigla_uf,BA
companhias,fca,canal_divulgacao,sigla_uf,BR
companhias,fca,canal_divulgacao,sigla_uf,CE
companhias,fca,canal_divulgacao,sigla_uf,DF
companhias,fca,canal_divulgacao,sigla_uf,ES
companhias,fca,canal_divulgacao,sigla_uf,GO
companhias,fca,canal_divulgacao,sigla_uf,MA
companhias,fca,canal_divulgacao,sigla_uf,MG
companhias,fca,canal_divulgacao,sigla_uf,MS
companhias,fca,canal_divulgacao,sigla_uf,MT
companhias,fca,canal_divulgacao,sigla_uf,PA
companhias,fca,canal_divulgacao,sigla_uf,PE
companhias,fca,canal_divulgacao,sigla_uf,PI
companhias,fca,canal_divulgacao,sigla_uf,PR
companhias,fca,canal_divulgacao,sigla_uf,RJ
companhias,fca,canal_divulgacao,sigla_uf,RN
companhias,fca,canal_divulgacao,sigla_uf,RS
companhias,fca,canal_divulgacao,sigla_uf,SC
companhias,fca,canal_divulgacao,sigla_uf,SE
companhias,fca,canal_divulgacao,sigla_uf,SP
companhias,fca,canal_divulgacao,sigla_uf,TO
companhias,fca,dri,pais,Brasil
companhias,fca,dri,sigla_uf,BA
companhias,fca,dri,sigla_uf,CE
companhias,fca,dri,sigla_uf,DF
companhias,fca,dri,sigla_uf,ES
companhias,fca,dri,sigla_uf,GO
companhias,fca,dri,sigla_uf,MG
companhias,fca,dri,sigla_uf,MT
companhias,fca,dri,sigla_uf,PA
companhias,fca,dri,sigla_uf,PE
companhias,fca,dri,sigla_uf,PR
companhias,fca,dri,sigla_uf,RJ
companhias,fca,dri,sigla_uf,RS
companhias,fca,dri,sigla_uf,SC
companhias,fca,dri,sigla_uf,SE
companhias,fca,dri,sigla_uf,SP
companhias,fca,dri,tipo_responsavel,Administrador Especial Temporário
companhias,fca,dri,tipo_responsavel,Administrador Judicial
companhias,fca,dri,tipo_responsavel,Diretor de Relações com Investidores
companhias,fca,dri,tipo_responsavel,Liquidante
companhias,fca,dri,tipo_responsavel,Representante Legal (para emissores estrangeiros)
companhias,fca,dri,uf,Bahia
companhias,fca,dri,uf,Ceará
companhias,fca,dri,uf,Distrito Federal
companhias,fca,dri,uf,Espírito Santo
companhias,fca,dri,uf,Goiás
companhias,fca,dri,uf,Mato Grosso
companhias,fca,dri,uf,Minas Gerais
companhias,fca,dri,uf,Paraná
companhias,fca,dri,uf,Pará
companhias,fca,dri,uf,Pernambuco
companhias,fca,dri,uf,Rio Grande do Sul
companhias,fca,dri,uf,Rio de Janeiro
companhias,fca,dri,uf,Santa Catarina
companhias,fca,dri,uf,Sergipe
companhias,fca,dri,uf,São Paulo
companhias,fca,endereco,pais,Bermudas
companhias,fca,endereco,pais,Brasil
companhias,fca,endereco,pais,Holanda
companhias,fca,endereco,sigla_uf,BA
companhias,fca,endereco,sigla_uf,CE
companhias,fca,endereco,sigla_uf,DF
companhias,fca,endereco,sigla_uf,ES
companhias,fca,endereco,sigla_uf,GO
companhias,fca,endereco,sigla_uf,MA
companhias,fca,endereco,sigla_uf,MG
companhias,fca,endereco,sigla_uf,MS
companhias,fca,endereco,sigla_uf,MT
companhias,fca,endereco,sigla_uf,PA
companhias,fca,endereco,sigla_uf,PE
companhias,fca,endereco,sigla_uf,PI
companhias,fca,endereco,sigla_uf,PR
companhias,fca,endereco,sigla_uf,RJ
companhias,fca,endereco,sigla_uf,RN
companhias,fca,endereco,sigla_uf,RS
companhias,fca,endereco,sigla_uf,SC
companhias,fca,endereco,sigla_uf,SE
companhias,fca,endereco,sigla_uf,SP
companhias,fca,endereco,sigla_uf,TO
companhias,fca,endereco,tipo_endereco,Endereço da Sede
companhias,fca,endereco,tipo_endereco,Endereço no Exterior
companhias,fca,endereco,tipo_endereco,Endereço para Correspondência
companhias,fca,escriturador,cidade,Belo Horizonte
companhias,fca,escriturador,cidade,Fortaleza
companhias,fca,escriturador,cidade,Osasco
companhias,fca,escriturador,cidade,Rio de Janeiro
companhias,fca,escriturador,cidade,SAO PAULO
companhias,fca,escriturador,cidade,São Paulo
companhias,fca,escriturador,pais,Antígua e Barbuda
companhias,fca,escriturador,pais,Brasil
companhias,fca,escriturador,sigla_uf,CE
companhias,fca,escriturador,sigla_uf,MG
companhias,fca,escriturador,sigla_uf,RJ
companhias,fca,escriturador,sigla_uf,SP
companhias,fca,geral,categoria_registro_cvm,Categoria A
companhias,fca,geral,categoria_registro_cvm,Categoria B
companhias,fca,geral,especie_controle_acionario,Estatal
companhias,fca,geral,especie_controle_acionario,Estatal Holding
companhias,fca,geral,especie_controle_acionario,Estrangeiro
companhias,fca,geral,especie_controle_acionario,Estrangeiro Holding
companhias,fca,geral,especie_controle_acionario,Privado
companhias,fca,geral,especie_controle_acionario,Privado Holding
companhias,fca,geral,pais_custodia_valores_mobiliarios,Bermudas
companhias,fca,geral,pais_custodia_valores_mobiliarios,Brasil
companhias,fca,geral,pais_custodia_valores_mobiliarios,Estados Unidos
companhias,fca,geral,pais_custodia_valores_mobiliarios,Samoa Ocidental
companhias,fca,geral,pais_origem,Bermudas
companhias,fca,geral,pais_origem,Brasil
companhias,fca,geral,pais_origem,Holanda
companhias,fca,geral,setor_atividade,"Agricultura (Açúcar, Álcool e Cana)"
companhias,fca,geral,setor_atividade,Alimentos
companhias,fca,geral,setor_atividade,Arrendamento Mercantil
companhias,fca,geral,setor_atividade,Bancos
companhias,fca,geral,setor_atividade,Bolsas de Valores/Mercadorias e Futuros
companhias,fca,geral,setor_atividade,Brinquedos e Lazer
companhias,fca,geral,setor_atividade,Comunicação e Informática
companhias,fca,geral,setor_atividade,Comércio (Atacado e Varejo)
companhias,fca,geral,setor_atividade,"Construção Civil, Mat. Constr. e Decoração"
companhias,fca,geral,setor_atividade,Educação
companhias,fca,geral,setor_atividade,Embalagens
companhias,fca,geral,setor_atividade,"Emp. Adm. Part. - Agricultura (Açúcar, Álcool e Cana)"
companhias,fca,geral,setor_atividade,Emp. Adm. Part. - Alimentos
companhias,fca,geral,setor_atividade,Emp. Adm. Part. - Bancos
companhias,fca,geral,setor_atividade,Emp. Adm. Part. - Brinquedos e Lazer
companhias,fca,geral,setor_atividade,Emp. Adm. Part. - Comunicação e Informática
companhias,fca,geral,setor_atividade,Emp. Adm. Part. - Comércio (Atacado e Varejo)
companhias,fca,geral,setor_atividade,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração"
companhias,fca,geral,setor_atividade,Emp. Adm. Part. - Crédito Imobiliário
companhias,fca,geral,setor_atividade,Emp. Adm. Part. - Educação
companhias,fca,geral,setor_atividade,Emp. Adm. Part. - Energia Elétrica
companhias,fca,geral,setor_atividade,Emp. Adm. Part. - Extração Mineral
companhias,fca,geral,setor_atividade,Emp. Adm. Part. - Intermediação Financeira
companhias,fca,geral,setor_atividade,Emp. Adm. Part. - Metalurgia e Siderurgia
companhias,fca,geral,setor_atividade,"Emp. Adm. Part. - Máqs., Equip., Veíc. e Peças"
companhias,fca,geral,setor_atividade,Emp. Adm. Part. - Petróleo e Gás
companhias,fca,geral,setor_atividade,"Emp. Adm. Part. - Saneamento, Serv. Água e Gás"
companhias,fca,geral,setor_atividade,Emp. Adm. Part. - Sem Setor Principal
companhias,fca,geral,setor_atividade,Emp. Adm. Part. - Serviços Transporte e Logística
companhias,fca,geral,setor_atividade,Emp. Adm. Part. - Telecomunicações
companhias,fca,geral,setor_atividade,Energia Elétrica
companhias,fca,geral,setor_atividade,Extração Mineral
companhias,fca,geral,setor_atividade,Farmacêutico e Higiene
companhias,fca,geral,setor_atividade,Hospedagem e Turismo
companhias,fca,geral,setor_atividade,Intermediação Financeira
companhias,fca,geral,setor_atividade,Metalurgia e Siderurgia
companhias,fca,geral,setor_atividade,"Máquinas, Equipamentos, Veículos e Peças"
companhias,fca,geral,setor_atividade,Papel e Celulose
companhias,fca,geral,setor_atividade,Petroquímicos e Borracha
companhias,fca,geral,setor_atividade,Petróleo e Gás
companhias,fca,geral,setor_atividade,"Saneamento, Serv. Água e Gás"
companhias,fca,geral,setor_atividade,Securitização de Recebíveis
companhias,fca,geral,setor_atividade,Seguradoras e Corretoras
companhias,fca,geral,setor_atividade,Serviços Transporte e Logística
companhias,fca,geral,setor_atividade,Serviços médicos
companhias,fca,geral,setor_atividade,Telecomunicações
companhias,fca,geral,setor_atividade,Têxtil e Vestuário
companhias,fca,geral,situacao_emissor,Em Falência
companhias,fca,geral,situacao_emissor,Em Liquidação Extrajudicial
companhias,fca,geral,situacao_emissor,Em Recuperação Extrajudicial
companhias,fca,geral,situacao_emissor,Em Recuperação Judicial ou Equivalente
companhias,fca,geral,situacao_emissor,Fase Operacional
companhias,fca,geral,situacao_emissor,Fase Pré-Operacional
companhias,fca,geral,situacao_emissor,Paralisada
companhias,fca,geral,situacao_registro_cvm,Ativo
companhias,fca,geral,situacao_registro_cvm,Cancelado
companhias,fca,geral,situacao_registro_cvm,Suspenso
companhias,fca,pais_estrangeiro_negociacao,pais,Brasil
companhias,fca,pais_estrangeiro_negociacao,pais,Espanha
companhias,fca,pais_estrangeiro_negociacao,pais,Estados Unidos
companhias,fca,pais_estrangeiro_negociacao,pais,Holanda
companhias,fca,pais_estrangeiro_negociacao,pais,Luxemburgo
companhias,fca,submissao,categ_doc,FCA
companhias,fca,valor_mobiliario,classe_acao_preferencial,Ordinária Classe A
companhias,fca,valor_mobiliario,classe_acao_preferencial,Preferencial Classe A
companhias,fca,valor_mobiliario,classe_acao_preferencial,Preferencial Classe B
companhias,fca,valor_mobiliario,classe_acao_preferencial,Preferencial Classe C
companhias,fca,valor_mobiliario,classe_acao_preferencial,Preferencial Classe R
companhias,fca,valor_mobiliario,classe_acao_preferencial,Preferencial Classe U
companhias,fca,valor_mobiliario,composicao_bdr_unit,"0,555556"
companhias,fca,valor_mobiliario,composicao_bdr_unit,04 Ações Ordinárias
