group,dataset,table,campo,campo_original,descricao,dominio,tipo_dados,tamanho,precisao,scale,meta_status
companhias,cad,companhias,auditor,AUDITOR,Nome do Auditor,Alfanumérico,varchar,100,,,available
companhias,cad,companhias,bairro,BAIRRO,Bairro,Alfanumérico,varchar,100,,,available
companhias,cad,companhias,bairro_resp,BAIRRO_RESP,Bairro do responsável,Alfanumérico,varchar,100,,,available
companhias,cad,companhias,categ_reg,CATEG_REG,Categoria do registro,Alfanumérico,varchar,20,,,available
companhias,cad,companhias,cd_cvm,CD_CVM,Código CVM,Numérico,numeric,,7,0,available
companhias,cad,companhias,cep,CEP,CEP,Numérico,numeric,,8,0,available
companhias,cad,companhias,cep_resp,CEP_RESP,CEP do responsável,Numérico,numeric,,8,0,available
companhias,cad,companhias,cnpj_auditor,CNPJ_AUDITOR,CNPJ do Auditor,Alfanumérico,varchar,20,,,available
companhias,cad,companhias,cnpj_cia,CNPJ_CIA,CNPJ da companhia,Alfanumérico,varchar,20,,,available
companhias,cad,companhias,compl,COMPL,Complemento de endereço,Alfanumérico,varchar,100,,,available
companhias,cad,companhias,compl_resp,COMPL_RESP,Complemento de endereço do responsável,Alfanumérico,varchar,100,,,available
companhias,cad,companhias,controle_acionario,CONTROLE_ACIONARIO,Controle Acionário,Alfanumérico,varchar,30,,,available
companhias,cad,companhias,ddd_fax,DDD_FAX,Código de DDD (FAX),Numérico,varchar,4,,,available
companhias,cad,companhias,ddd_fax_resp,DDD_FAX_RESP,Código de DDD (FAX) do responsável,Numérico,varchar,4,,,available
companhias,cad,companhias,ddd_tel,DDD_TEL,Código de DDD (Telefone),Numérico,varchar,4,,,available
companhias,cad,companhias,ddd_tel_resp,DDD_TEL_RESP,Código de DDD (Telefone) do responsável,Numérico,varchar,4,,,available
companhias,cad,companhias,denom_comerc,DENOM_COMERC,Denominação Comercial,Alfanumérico,varchar,100,,,available
companhias,cad,companhias,denom_social,DENOM_SOCIAL,Denominação Social,Alfanumérico,varchar,100,,,available
companhias,cad,companhias,dt_cancel,DT_CANCEL,Data de cancelamento,AAAA-MM-DD,date,10,,,available
companhias,cad,companhias,dt_const,DT_CONST,Data de constituição,AAAA-MM-DD,date,10,,,available
companhias,cad,companhias,dt_ini_categ,DT_INI_CATEG,Data início da categoria do registro,AAAA-MM-DD,date,10,,,available
companhias,cad,companhias,dt_ini_resp,DT_INI_RESP,Data início de atuação do responsável,AAAA-MM-DD,date,10,,,available
companhias,cad,companhias,dt_ini_sit,DT_INI_SIT,Data início da situação,AAAA-MM-DD,date,10,,,available
companhias,cad,companhias,dt_ini_sit_emissor,DT_INI_SIT_EMISSOR,Data início da situação do emissor,AAAA-MM-DD,date,10,,,available
companhias,cad,companhias,dt_reg,DT_REG,Data de registro,AAAA-MM-DD,date,10,,,available
companhias,cad,companhias,email,EMAIL,Endereço de e-mail,Alfanumérico,varchar,100,,,available
companhias,cad,companhias,email_resp,EMAIL_RESP,Endereço de e-mail do responsável,Alfanumérico,varchar,100,,,available
companhias,cad,companhias,fax,FAX,FAX,Numérico,numeric,,15,0,available
companhias,cad,companhias,fax_resp,FAX_RESP,FAX do responsável,Numérico,numeric,,15,0,available
companhias,cad,companhias,logradouro,LOGRADOURO,Logradouro,Alfanumérico,varchar,100,,,available
companhias,cad,companhias,logradouro_resp,LOGRADOURO_RESP,Logradouro do responsável,Alfanumérico,varchar,100,,,available
companhias,cad,companhias,motivo_cancel,MOTIVO_CANCEL,Motivo de cancelamento,Alfanumérico,varchar,80,,,available
companhias,cad,companhias,mun,MUN,Nome do município,Alfanumérico,varchar,100,,,available
companhias,cad,companhias,mun_resp,MUN_RESP,Nome do município do responsável,Alfanumérico,varchar,100,,,available
companhias,cad,companhias,pais,PAIS,País,Alfanumérico,varchar,100,,,available
companhias,cad,companhias,pais_resp,PAIS_RESP,País do responsável,Alfanumérico,varchar,100,,,available
companhias,cad,companhias,resp,RESP,Nome do Responsável,Alfanumérico,varchar,100,,,available
companhias,cad,companhias,setor_ativ,SETOR_ATIV,Setor de atividade,Alfanumérico,varchar,100,,,available
companhias,cad,companhias,sit,SIT,Situação,Alfanumérico,varchar,40,,,available
companhias,cad,companhias,sit_emissor,SIT_EMISSOR,Descrição da situação do emissor,Alfanumérico,char,80,,,available
companhias,cad,companhias,tel,TEL,Telefone,Numérico,numeric,,15,0,available
companhias,cad,companhias,tel_resp,TEL_RESP,Telefone do responsável,Numérico,numeric,,15,0,available
companhias,cad,companhias,tp_ender,TP_ENDER,Tipo de endereço,Alfanumérico,char,30,,,available
companhias,cad,companhias,tp_merc,TP_MERC,Tipo de mercado,Alfanumérico,varchar,50,,,available
companhias,cad,companhias,tp_resp,TP_RESP,Tipo de responsável,Alfanumérico,varchar,100,,,available
companhias,cad,companhias,uf,UF,Unidade da Federação,Alfanumérico,char,2,,,available
companhias,cad,companhias,uf_resp,UF_RESP,Unidade da Federação do responsável,Alfanumérico,char,2,,,available
companhias,dfp,bpa,cd_conta,CD_CONTA,Código da conta,Numérico,varchar,18,,,available
companhias,dfp,bpa,cd_cvm,CD_CVM,Código CVM,Numérico,char,6,,,available
companhias,dfp,bpa,cnpj_cia,CNPJ_CIA,CNPJ da companhia,Alfanumérico,varchar,20,,,available
companhias,dfp,bpa,denom_cia,DENOM_CIA,Nome empresarial da companhia,Alfanumérico,varchar,100,,,available
companhias,dfp,bpa,ds_conta,DS_CONTA,Descrição da conta,Alfanumérico,varchar,100,,,available
companhias,dfp,bpa,dt_fim_exerc,DT_FIM_EXERC,Data fim do exercício social,AAAA-MM-DD,date,10,,,available
companhias,dfp,bpa,dt_refer,DT_REFER,Data de referência do documento,AAAA-MM-DD,date,10,,,available
companhias,dfp,bpa,escala_moeda,ESCALA_MOEDA,Escala monetária,Alfanumérico,varchar,100,,,available
